PLAYER_NAME,PTS,REB,AST,MIN,TeamID,team_abbv
Anthony Black,4.6,2.066666666666667,1.3333333333333333,18.2,1610612753,ORL
Jonathan Isaac,6.571428571428571,4.428571428571429,0.35714285714285715,13.857142857142858,1610612753,ORL
Caleb Houstan,2.4,1.0,0.4,7.0,1610612753,ORL
Chuma Okeke,1.5714285714285714,1.0,0.14285714285714285,4.0,1610612753,ORL
Jalen Suggs,12.4375,4.0,2.6875,27.125,1610612753,ORL
Paolo Banchero,19.823529411764707,6.470588235294118,4.588235294117647,33.529411764705884,1610612753,ORL
Joe Ingles,4.0,2.5294117647058822,3.176470588235294,18.705882352941178,1610612753,ORL
Jett Howard,0.4,0.4,0.4,4.6,1610612753,ORL
Gary Harris,8.166666666666666,2.0,1.75,20.833333333333332,1610612753,ORL
Markelle Fultz,11.4,3.4,4.0,28.8,1610612753,ORL
Moritz Wagner,12.529411764705882,4.352941176470588,1.2352941176470589,19.058823529411764,1610612753,ORL
Franz Wagner,19.529411764705884,5.588235294117647,3.176470588235294,32.8235294117647,1610612753,ORL
Admiral Schofield,1.6666666666666667,0.0,0.0,3.3333333333333335,1610612753,ORL
Wendell Carter Jr.,9.4,8.6,1.6,29.4,1610612753,ORL
Goga Bitadze,7.066666666666666,6.066666666666666,1.7333333333333334,19.666666666666668,1610612753,ORL
Cole Anthony,15.0,4.647058823529412,3.7058823529411766,26.058823529411764,1610612753,ORL
